Lyrics (Anonymous),Direct Translation,Poetic Translation
Le content est riche en ce monde,LINK,A happy person's life is wealthy
Et bien heureux en ce temps ci.,http://www2.cpdl.org/wiki/index.php/Le_content_est_riche,In the delight to live and learn.
"À cœur joyeux, liberté, monde,",See translation at Choral Public Domain Library.,"With merry heart, he's free and healthy;"
vivre chez soi hors de souci.,,"He dwells at home, lacking concern."
,,
Être amoureux non point transi.,,"So be in love but not lovesick,"
Et à tous deuil clore les yeux.,,And close your eyes to pain and tears.
"Toujours, gaillards, faites ainsi",,"My friends take care; no troubles pick,"
Et vous vivrez cent ans et mieux.,,And you will live a hundred years.
,,
Anonymous,,Carol Anne Perry Lagemann
